CustomerID,Age,Gender,MembershipTier,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketSize,ComplaintCount
CUST_05070,47,M,Silver,37,42,9,5677.88,630.88,0
CUST_05071,35,F,Silver,13,39,10,7397.10,739.71,2
CUST_05072,31,M,Gold,6,45,13,18170.11,1397.70,0
CUST_05073,34,M,Silver,22,11,8,6034.83,754.35,0
CUST_05074,29,M,Platinum,38,52,19,51568.65,2714.14,0
CUST_05075,48,M,Bronze,4,84,1,675.81,675.81,0
CUST_05076,29,F,Platinum,22,22,23,63548.03,2762.96,2
CUST_05077,38,F,Bronze,2,75,4,2376.58,594.14,0
CUST_05078,62,M,Bronze,48,36,1,525.68,525.68,1
CUST_05079,27,F,Platinum,43,19,19,47861.62,2519.03,0
CUST_05080,49,M,Bronze,20,21,4,1318.09,329.52,0
CUST_05081,47,F,Bronze,16,65,6,2954.24,492.37,0
CUST_05082,51,F,Bronze,41,28,1,572.74,572.74,0
CUST_05083,51,F,Silver,40,84,5,3182.07,636.41,2
CUST_05084,43,M,Platinum,10,74,21,55994.10,2666.39,1
CUST_05085,33,M,Silver,40,9,4,3312.89,828.22,0
CUST_05086,34,M,Platinum,27,61,21,51858.66,2469.46,1
CUST_05087,31,M,Platinum,27,51,21,48749.99,2321.43,0
CUST_05088,30,M,Bronze,45,75,2,606.39,303.19,1
CUST_05089,20,M,Bronze,35,44,2,663.16,331.58,2
CUST_05090,45,M,Silver,38,64,7,3775.15,539.31,1
CUST_05091,40,F,Gold,30,23,12,12462.23,1038.52,0
CUST_05092,41,M,Silver,32,10,6,3372.26,562.04,0
CUST_05093,45,F,Gold,42,35,16,24699.72,1543.73,1
CUST_05094,20,M,Bronze,4,48,7,4206.65,600.95,1
CUST_05095,38,F,Platinum,34,53,20,52685.83,2634.29,1
CUST_05096,55,M,Silver,19,35,2,831.21,415.61,0
CUST_05097,40,M,Bronze,35,57,1,284.14,284.14,0
CUST_05098,33,F,Gold,19,9,17,15648.39,920.49,0
CUST_05099,37,F,Silver,36,6,5,4113.89,822.78,0
CUST_05100,49,M,Platinum,28,77,22,55738.29,2533.56,0
CUST_05101,28,F,Bronze,7,23,3,1572.71,524.24,0
CUST_05102,55,M,Silver,8,67,7,4100.43,585.78,0
CUST_05103,34,F,Gold,11,30,12,16061.93,1338.49,1
CUST_05104,42,F,Bronze,20,3,1,327.96,327.96,0
CUST_05105,33,F,Platinum,32,26,22,56572.74,2571.49,1
CUST_05106,41,M,Bronze,17,15,1,238.45,238.45,2
CUST_05107,30,F,Bronze,46,3,6,1797.89,299.65,2
CUST_05108,26,F,Platinum,26,46,24,53770.06,2240.42,0
CUST_05109,58,F,Gold,15,68,12,16738.22,1394.85,0
CUST_05110,33,F,Gold,20,66,13,18801.33,1446.26,0
CUST_05111,26,M,Bronze,10,64,3,1886.83,628.94,0
CUST_05112,60,M,Bronze,4,82,3,2521.24,840.41,2
CUST_05113,20,F,Gold,42,75,13,15479.00,1190.69,0
CUST_05114,35,F,Bronze,26,4,6,2559.84,426.64,2
CUST_05115,41,F,Silver,10,47,8,5947.36,743.42,0
CUST_05116,50,M,Silver,43,8,7,4459.50,637.07,0
CUST_05117,49,M,Gold,12,70,15,22319.70,1487.98,0
CUST_05118,35,M,Platinum,45,6,24,63608.16,2650.34,1
CUST_05119,35,M,Platinum,36,55,22,54326.56,2469.39,0
CUST_05120,20,F,Gold,8,45,14,19457.91,1389.85,0
CUST_05121,40,F,Bronze,12,24,1,569.39,569.39,0
CUST_05122,43,M,Gold,15,85,15,17315.26,1154.35,2
CUST_05123,57,F,Gold,6,10,14,17247.01,1231.93,0
CUST_05124,37,M,Bronze,35,36,1,378.98,378.98,0
CUST_05125,30,F,Silver,33,67,8,5435.84,679.48,1
CUST_05126,50,F,Bronze,37,32,5,1873.96,374.79,1
CUST_05127,38,F,Gold,34,32,15,17186.76,1145.78,0
CUST_05128,54,F,Platinum,12,59,23,61783.21,2686.23,1
CUST_05129,40,F,Bronze,9,73,6,2678.16,446.36,0
CUST_05130,37,F,Bronze,12,11,3,833.33,277.78,1
CUST_05131,55,F,Bronze,41,79,1,415.56,415.56,0
CUST_05132,40,F,Platinum,22,11,24,61635.50,2568.15,2
CUST_05133,49,M,Bronze,48,14,1,163.85,163.85,0
CUST_05134,43,M,Platinum,38,58,24,57599.07,2399.96,0
CUST_05135,37,M,Bronze,30,80,2,1180.42,590.21,1
CUST_05136,42,F,Silver,36,69,7,5018.92,716.99,0
CUST_05137,53,M,Gold,46,55,15,15281.63,1018.78,1
CUST_05138,40,M,Platinum,6,77,22,53665.83,2439.36,1
CUST_05139,38,M,Bronze,38,22,3,1262.79,420.93,0
CUST_05140,29,M,Bronze,32,62,3,1011.40,337.13,0
CUST_05141,33,M,Gold,16,42,11,10542.56,958.41,1
CUST_05142,46,M,Silver,22,27,6,3768.11,628.02,0
CUST_05143,30,F,Gold,35,75,11,11036.66,1003.33,0
CUST_05144,34,M,Silver,31,24,4,1883.49,470.87,0
CUST_05145,43,M,Bronze,12,35,6,3905.55,650.93,0
CUST_05146,43,M,Platinum,14,80,22,52304.60,2377.48,1
CUST_05147,38,F,Platinum,17,77,23,54668.76,2376.90,1
CUST_05148,36,M,Silver,47,33,4,2261.60,565.40,1
CUST_05149,30,F,Silver,32,34,8,3752.04,469.00,0
CUST_05150,64,F,Gold,2,52,13,15762.91,1212.53,0
CUST_05151,34,M,Bronze,9,36,3,1053.06,351.02,0
CUST_05152,35,M,Silver,18,46,8,7629.01,953.63,0
CUST_05153,25,M,Silver,15,27,9,5892.66,654.74,0
CUST_05154,41,M,Gold,25,18,13,12209.92,939.22,0
CUST_05155,45,F,Bronze,6,16,6,1588.51,264.75,1
CUST_05156,41,M,Gold,38,45,12,15204.30,1267.02,0
CUST_05157,31,M,Silver,42,41,5,2756.53,551.31,0
CUST_05158,48,F,Silver,41,17,10,9097.65,909.76,0
CUST_05159,40,F,Gold,44,52,11,13227.64,1202.51,1
CUST_05160,52,M,Silver,18,59,6,3292.03,548.67,2
CUST_05161,51,M,Gold,43,75,12,15645.82,1303.82,0
CUST_05162,31,F,Platinum,22,18,21,61381.14,2922.91,2
CUST_05163,50,M,Platinum,38,25,23,63896.68,2778.12,0
CUST_05164,29,M,Platinum,37,24,21,57661.12,2745.77,0
CUST_05165,51,F,Gold,27,41,14,18777.48,1341.25,1
CUST_05166,35,M,Silver,21,29,6,1410.04,235.01,2
CUST_05167,47,M,Bronze,29,56,3,1088.62,362.87,0
CUST_05168,26,F,Platinum,40,83,19,49961.04,2629.53,0
CUST_05169,23,F,Bronze,35,65,1,189.74,189.74,0
CUST_05170,31,M,Gold,2,57,17,23304.70,1370.86,1
CUST_05171,51,F,Bronze,12,43,4,2486.94,621.74,0
CUST_05172,40,F,Platinum,4,3,24,56726.45,2363.60,0
CUST_05173,49,M,Silver,42,20,5,3750.52,750.10,1
CUST_05174,44,M,Bronze,18,81,1,355.44,355.44,0
CUST_05175,48,M,Platinum,34,36,19,50896.98,2678.79,2
CUST_05176,59,F,Gold,7,38,14,16532.68,1180.91,1
CUST_05177,51,M,Silver,17,71,7,5101.41,728.77,0
CUST_05178,38,M,Silver,35,44,6,2669.34,444.89,1
CUST_05179,36,M,Platinum,15,65,27,65862.69,2439.36,0
CUST_05180,26,F,Bronze,23,43,1,381.34,381.34,2
CUST_05181,46,F,Platinum,30,58,19,49951.97,2629.05,2
CUST_05182,40,F,Bronze,25,78,3,1491.98,497.33,2
CUST_05183,31,M,Silver,38,10,6,4892.02,815.34,1
CUST_05184,38,F,Silver,35,48,7,3282.93,468.99,1
CUST_05185,33,F,Platinum,15,48,20,48813.49,2440.67,1
CUST_05186,50,F,Platinum,22,13,22,53652.89,2438.77,0
CUST_05187,34,F,Silver,26,42,6,4469.55,744.93,0
CUST_05188,33,F,Silver,19,47,6,3922.07,653.68,0
CUST_05189,53,F,Gold,27,50,13,16318.80,1255.29,0
CUST_05190,45,F,Platinum,31,78,20,54877.53,2743.88,2
CUST_05191,57,M,Gold,31,31,11,10492.71,953.88,1
CUST_05192,41,M,Silver,23,12,9,8957.66,995.30,2
CUST_05193,32,M,Bronze,7,65,2,936.29,468.14,0
CUST_05194,23,M,Silver,41,38,3,1748.25,582.75,1
CUST_05195,37,M,Platinum,18,77,23,61728.02,2683.83,0
CUST_05196,36,F,Bronze,16,69,2,830.71,415.36,0
CUST_05197,47,F,Gold,38,13,14,19097.50,1364.11,1
CUST_05198,37,M,Platinum,22,31,23,53812.00,2339.65,0
CUST_05199,38,M,Platinum,47,34,20,47918.94,2395.95,1
CUST_05200,51,F,Gold,10,58,13,15840.95,1218.53,0
