CustomerID,Age,Gender,MembershipTier,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketSize,ComplaintCount,Churn
CUST_01088,30,Other,Silver,1,20,7,3598.91,514.13,0,0
CUST_01089,45,F,Bronze,24,36,4,1995.05,498.76,0,0
CUST_01090,24,F,Gold,27,97,11,12826.42,1166.04,0,1
CUST_01091,,F,Bronze,60,13,3,1117.64,372.55,1,0
CUST_01092,44,Other,Silver,20,33,8,5854.58,731.82,0,0
CUST_01093,38,F,Bronze,13,7,3,1046.54,348.85,1,0
CUST_01094,,Other,Silver,26,20,8,5869.39,733.67,1,0
CUST_01095,19,F,Bronze,25,24,3,1193.37,397.79,0,0
CUST_01096,37,Other,Platinum,15,15,16,36332.88,2270.80,0,1
CUST_01097,30,F,Platinum,36,19,30,58422.51,1947.42,0,0
CUST_01098,55,Other,Silver,20,7,6,4158.45,693.07,0,0
CUST_01099,42,F,Bronze,19,20,4,1359.49,339.87,1,0
CUST_01100,47,F,Bronze,5,47,3,1355.92,451.97,0,1
CUST_01101,35,M,Bronze,15,22,4,1386.85,346.71,2,1
CUST_01102,21,F,Bronze,2,53,4,1419.65,354.91,0,0
CUST_01103,48,F,Silver,12,22,9,6178.60,686.51,0,0
CUST_01104,46,Other,Gold,12,29,18,25608.79,1422.71,0,0
CUST_01105,49,F,Platinum,4,120,22,59005.33,2682.06,0,1
CUST_01106,41,Other,Silver,2,3,3,1820.94,606.98,0,0
CUST_01107,31,M,Silver,40,3,10,7924.50,792.45,0,0
CUST_01108,35,F,Bronze,4,3,4,1632.76,408.19,0,0
CUST_01109,45,Other,Silver,46,13,12,7322.48,610.21,1,0
CUST_01110,27,M,Silver,10,9,7,6054.40,864.91,0,0
CUST_01111,37,F,Platinum,6,4,29,75549.94,2605.17,0,0
CUST_01112,31,F,Bronze,1,6,5,1496.78,299.36,1,0
CUST_01113,47,F,Bronze,7,81,3,1884.65,628.22,2,1
CUST_01114,35,Other,Bronze,11,76,4,815.54,203.88,2,1
CUST_01115,34,M,Platinum,27,76,18,45509.71,2528.32,0,1
CUST_01116,54,M,Gold,10,48,9,10429.82,1158.87,1,1
CUST_01117,30,Other,Bronze,1,13,2,1011.10,505.55,0,0
CUST_01118,67,F,Bronze,35,41,3,1070.83,356.94,1,0
CUST_01119,33,F,Bronze,7,25,4,1749.48,437.37,0,0
CUST_01120,37,F,Platinum,19,8,34,72243.43,2124.81,1,0
CUST_01121,34,F,Silver,1,3,5,3257.43,651.49,2,0
CUST_01122,30,M,Silver,35,41,10,6240.99,624.10,0,0
CUST_01123,18,M,Bronze,26,10,3,1225.65,408.55,0,1
CUST_01124,42,F,Silver,5,40,6,4504.49,750.75,2,1
CUST_01125,31,Other,Bronze,31,6,5,2276.34,455.27,1,0
CUST_01126,41,F,Bronze,21,2,4,981.20,245.30,1,0
CUST_01127,42,M,Bronze,1,8,4,2033.59,508.40,0,0
CUST_01128,32,M,Gold,14,1,15,17963.10,1197.54,0,0
CUST_01129,56,M,Silver,17,34,12,9561.99,796.83,0,0
CUST_01130,46,Other,Bronze,8,1,2,835.05,417.52,1,0
CUST_01131,21,F,Silver,3,18,7,5211.97,744.57,0,0
CUST_01132,40,F,Silver,11,72,5,3370.80,674.16,0,0
CUST_01133,18,F,Bronze,4,22,2,771.05,385.52,0,0
CUST_01134,,M,Bronze,4,14,2,494.99,247.50,1,0
CUST_01135,42,Other,Silver,14,38,5,1566.63,313.33,1,1
CUST_01136,37,F,Gold,2,52,22,29462.01,1339.18,0,0
CUST_01137,71,Other,Silver,8,10,9,4715.47,523.94,0,0
CUST_01138,22,F,Bronze,21,7,4,1915.17,478.79,0,0
CUST_01139,42,M,Bronze,2,13,3,1101.92,367.31,1,1
CUST_01140,45,F,Platinum,55,26,24,57664.51,2402.69,0,0
CUST_01141,33,Other,Silver,4,3,5,2727.48,545.50,0,0
CUST_01142,36,M,Silver,29,42,8,4896.38,612.05,1,1
CUST_01143,49,M,Gold,22,113,16,17952.26,1122.02,0,0
CUST_01144,48,M,Bronze,14,2,2,630.83,315.42,2,0
CUST_01145,29,F,Silver,30,21,8,2860.35,357.54,1,0
CUST_01146,28,F,Bronze,26,59,5,2184.11,436.82,0,1
CUST_01147,28,Other,Bronze,8,4,4,1784.17,446.04,0,0
CUST_01148,30,M,Bronze,6,8,4,1550.76,387.69,0,0
CUST_01149,39,F,Bronze,10,1,2,841.87,420.94,2,0
CUST_01150,44,M,Silver,18,6,4,2505.51,626.38,0,0
CUST_01151,51,F,Gold,6,1,14,14722.70,1051.62,1,0
CUST_01152,33,F,Bronze,26,12,4,675.90,168.97,0,0
CUST_01153,28,F,Bronze,10,3,3,686.73,228.91,1,0
CUST_01154,58,Other,Bronze,7,32,3,1365.81,455.27,0,0
CUST_01155,31,Other,Bronze,12,16,3,1599.24,533.08,1,0
CUST_01156,,M,Silver,4,1,7,4106.16,586.59,1,0
CUST_01157,41,Other,Gold,11,21,9,10534.68,1170.52,0,0
CUST_01158,30,F,Bronze,20,33,4,1430.93,357.73,0,0
CUST_01159,21,M,Bronze,10,2,4,1499.69,374.92,0,0
CUST_01160,42,F,Gold,24,3,16,18876.08,1179.76,0,0
CUST_01161,30,F,Gold,32,44,11,11418.49,1038.04,0,0
CUST_01162,43,M,Bronze,38,11,4,1379.67,344.92,2,0
CUST_01163,44,F,Gold,55,1,15,12373.97,824.93,0,0
CUST_01164,37,Other,Gold,1,120,2,2636.72,1318.36,0,1
CUST_01165,48,F,Gold,10,53,16,19715.44,1232.21,0,0
CUST_01166,48,F,Gold,20,70,13,15068.95,1159.15,0,1
CUST_01167,47,M,Silver,34,49,12,5930.52,494.21,1,0
CUST_01168,38,Other,Bronze,14,33,5,1913.19,382.64,0,1
CUST_01169,26,Other,Bronze,21,6,3,1045.89,348.63,0,0
CUST_01170,24,F,Bronze,15,43,4,1596.76,399.19,1,1
CUST_01171,39,M,Silver,10,25,7,4998.98,714.14,0,0
CUST_01172,33,M,Bronze,24,22,4,2001.71,500.43,0,0
CUST_01173,37,Other,Silver,8,13,8,5637.11,704.64,0,0
CUST_01174,50,F,Silver,3,36,6,5012.76,835.46,0,0
CUST_01175,38,M,Silver,44,21,8,5481.42,685.18,1,0
CUST_01176,50,F,Bronze,1,41,6,2964.86,494.14,0,0
CUST_01177,55,F,Platinum,6,39,32,72031.22,2250.98,0,0
CUST_01178,45,M,Silver,4,5,4,2654.85,663.71,0,0
CUST_01179,32,M,Bronze,30,1,4,1060.95,265.24,0,0
CUST_01180,58,M,Gold,1,52,21,33404.66,1590.70,0,0
CUST_01181,50,Other,Bronze,1,3,3,1366.06,455.35,0,0
CUST_01182,30,F,Gold,8,22,13,18594.15,1430.32,0,0
CUST_01183,20,F,Silver,3,14,12,7591.68,632.64,0,0
CUST_01184,46,M,Silver,2,47,9,5039.85,559.98,0,0
CUST_01185,39,Other,Bronze,10,36,4,1910.10,477.52,0,1
CUST_01186,29,F,Bronze,3,30,3,1462.62,487.54,1,0
CUST_01187,34,Other,Gold,1,25,17,18549.95,1091.17,1,1
CUST_01188,23,Other,Bronze,11,91,4,1167.96,291.99,1,1
CUST_01189,49,Other,Gold,17,28,17,18841.96,1108.35,0,0
CUST_01190,39,Other,Silver,1,16,7,3671.51,524.50,1,0
CUST_01191,38,Other,Bronze,1,51,2,845.70,422.85,0,1
CUST_01192,35,F,Gold,7,17,18,23109.92,1283.88,0,0
CUST_01193,18,M,Silver,22,16,6,3504.56,584.09,0,0
CUST_01194,21,F,Bronze,46,49,4,1347.16,336.79,0,0
CUST_01195,27,F,Bronze,7,35,4,1242.66,310.67,0,0
CUST_01196,22,M,Bronze,14,5,4,1561.25,390.31,0,0
CUST_01197,56,F,Gold,1,21,12,14598.38,1216.53,0,1
CUST_01198,32,Other,Bronze,2,12,4,1475.82,368.95,2,1
CUST_01199,48,F,Bronze,11,8,3,1491.35,497.12,1,0
CUST_01200,38,F,Bronze,4,24,2,844.86,422.43,1,0
CUST_01201,28,F,Silver,9,1,6,3046.52,507.75,0,0
CUST_01202,36,Other,Silver,31,1,8,7277.41,909.68,0,0
CUST_01203,18,F,Bronze,7,15,3,1214.13,404.71,1,0
CUST_01204,42,F,Bronze,36,5,4,1479.34,369.83,0,0
CUST_01205,36,M,Bronze,50,31,4,1332.63,333.16,1,0
CUST_01206,37,M,Silver,40,18,5,2578.63,515.73,0,0
CUST_01207,42,M,Silver,3,91,6,4572.82,762.14,0,1
CUST_01208,41,Other,Bronze,72,45,3,824.96,274.99,0,0
CUST_01209,47,M,Silver,10,7,11,6884.30,625.85,2,1
CUST_01210,29,F,Silver,8,7,8,1952.33,244.04,0,0
CUST_01211,39,F,Bronze,25,13,3,971.41,323.80,0,0
CUST_01212,22,F,Silver,69,1,9,5118.99,568.78,1,0
CUST_01213,18,F,Bronze,23,6,4,1598.06,399.51,0,0
CUST_01214,40,F,Bronze,10,9,2,882.91,441.45,0,0
CUST_01215,18,Other,Bronze,4,1,4,1502.43,375.61,0,0
CUST_01216,47,M,Bronze,9,15,3,1043.12,347.71,0,0
CUST_01217,48,F,Bronze,6,29,1,241.10,241.10,0,0
CUST_01218,43,M,Gold,3,46,14,20843.90,1488.85,0,0
CUST_01219,25,M,Bronze,67,11,2,762.93,381.46,0,0
CUST_01220,34,M,Silver,5,1,5,2553.97,510.79,0,0
CUST_01221,18,F,Silver,2,33,8,3289.43,411.18,1,0
CUST_01222,37,F,Gold,10,26,16,16756.67,1047.29,0,0
CUST_01223,39,M,Gold,15,5,13,14788.42,1137.57,0,0
CUST_01224,48,M,Bronze,33,40,2,568.59,284.30,0,0
CUST_01225,32,F,Silver,1,26,7,3113.81,444.83,0,0
CUST_01226,23,F,Bronze,4,45,4,1544.27,386.07,0,1
CUST_01227,27,M,Bronze,29,21,2,779.03,389.51,0,0
CUST_01228,25,F,Silver,14,13,6,3185.08,530.85,2,1
CUST_01229,26,F,Silver,31,9,8,5117.39,639.67,1,0
CUST_01230,35,Other,Platinum,4,53,16,34326.95,2145.43,0,0
CUST_01231,27,F,Bronze,26,23,2,729.12,364.56,0,0
CUST_01232,22,M,Bronze,8,120,2,383.44,191.72,0,1
CUST_01233,19,Other,Gold,30,29,14,17858.06,1275.58,0,0
CUST_01234,37,M,Silver,47,12,7,3618.13,516.88,1,0
CUST_01235,29,Other,Gold,25,63,19,28076.06,1477.69,0,0
CUST_01236,52,Other,Silver,7,5,6,3671.96,611.99,0,0
CUST_01237,49,M,Bronze,38,5,3,857.07,285.69,0,0
CUST_01238,41,F,Bronze,13,22,3,1018.88,339.63,0,0
CUST_01239,33,F,Silver,1,3,10,4790.90,479.09,0,0
CUST_01240,30,M,Bronze,9,1,3,1459.99,486.66,0,0
CUST_01241,34,M,Bronze,2,20,4,947.92,236.98,0,0
CUST_01242,55,F,Platinum,9,27,27,69549.76,2575.92,0,0
CUST_01243,,Other,Bronze,72,28,4,1981.42,495.36,0,0
CUST_01244,37,Other,Bronze,3,52,2,804.75,402.38,1,1
CUST_01245,42,M,Bronze,3,60,4,1239.57,309.89,0,0
CUST_01246,38,M,Bronze,45,8,4,1404.86,351.21,1,0
CUST_01247,47,Other,Gold,5,35,15,15952.37,1063.49,0,0
CUST_01248,37,F,Gold,31,7,15,21082.03,1405.47,0,0
CUST_01249,35,M,Bronze,8,69,2,689.30,344.65,0,1
CUST_01250,28,M,Silver,17,18,8,5114.47,639.31,1,0
CUST_01251,49,Other,Gold,2,1,6,7118.99,1186.50,1,0
CUST_01252,25,F,Bronze,9,84,4,1894.15,473.54,0,1
CUST_01253,29,Other,Gold,53,26,19,28524.31,1501.28,1,0
CUST_01254,30,Other,Silver,36,12,7,3124.09,446.30,0,0
CUST_01255,48,M,Bronze,5,4,3,686.96,228.99,0,0
CUST_01256,38,Other,Silver,3,36,9,8946.76,994.08,1,0
CUST_01257,45,F,Silver,19,15,7,3147.52,449.65,1,0
CUST_01258,47,Other,Silver,34,51,7,4411.00,630.14,0,0
CUST_01259,43,M,Bronze,41,46,5,1803.03,360.61,0,0
CUST_01260,30,M,Bronze,27,70,5,2448.00,489.60,2,1
CUST_01261,35,F,Bronze,32,1,3,1797.73,599.24,0,0
CUST_01262,59,Other,Gold,9,61,20,12030.30,601.51,0,0
CUST_01263,,M,Bronze,2,1,3,925.82,308.61,0,0
CUST_01264,29,Other,Bronze,7,16,3,1156.00,385.33,0,0
CUST_01265,32,M,Bronze,50,16,5,2064.95,412.99,1,0
CUST_01266,43,M,Gold,1,1,20,20831.38,1041.57,0,0
CUST_01267,41,M,Bronze,15,27,3,1265.47,421.82,0,0
CUST_01268,45,F,Silver,13,5,5,2841.68,568.34,0,0
CUST_01269,43,M,Bronze,16,37,3,1088.04,362.68,0,0
CUST_01270,50,M,Platinum,46,54,16,33833.81,2114.61,0,0
CUST_01271,22,Other,Bronze,45,20,2,787.88,393.94,0,0
CUST_01272,25,Other,Bronze,5,12,2,801.10,400.55,0,0
CUST_01273,37,M,Silver,1,33,8,7023.57,877.95,1,0
CUST_01274,41,M,Bronze,19,63,3,1393.89,464.63,0,1
CUST_01275,46,F,Silver,6,9,8,2285.23,285.65,0,0
CUST_01276,53,F,Bronze,29,1,3,1197.04,399.01,1,0
CUST_01277,37,Other,Bronze,30,20,3,1066.27,355.42,0,0
CUST_01278,30,F,Bronze,6,23,2,547.88,273.94,2,1
CUST_01279,36,F,Silver,7,13,6,4458.77,743.13,2,0
CUST_01280,37,Other,Gold,25,45,15,13740.51,916.03,0,0
CUST_01281,41,F,Bronze,20,3,3,1108.50,369.50,0,0
CUST_01282,18,F,Bronze,4,48,1,426.20,426.20,1,1
CUST_01283,36,F,Bronze,29,6,4,1439.36,359.84,0,0
CUST_01284,57,Other,Platinum,2,9,23,43276.84,1881.60,0,1
CUST_01285,35,M,Silver,21,39,11,8560.57,778.23,0,0
CUST_01286,33,M,Gold,6,34,13,17397.53,1338.27,0,0
CUST_01287,20,M,Platinum,2,13,29,66935.50,2308.12,1,0
CUST_01288,18,F,Silver,1,19,12,9301.78,775.15,0,0
CUST_01289,61,Other,Bronze,7,41,4,1450.60,362.65,0,0
CUST_01290,41,Other,Silver,18,26,8,3412.02,426.50,1,0
CUST_01291,45,F,Silver,72,1,8,5114.03,639.25,0,0
CUST_01292,30,Other,Bronze,51,35,3,820.12,273.37,0,0
CUST_01293,19,M,Bronze,17,19,3,1578.15,526.05,1,0
CUST_01294,62,Other,Bronze,30,99,3,1035.70,345.23,0,1
CUST_01295,46,M,Gold,4,2,14,12363.39,883.10,0,0
CUST_01296,26,Other,Bronze,39,46,4,1543.25,385.81,0,0
CUST_01297,24,F,Bronze,17,1,3,1070.34,356.78,0,0
CUST_01298,47,F,Bronze,9,14,4,1345.80,336.45,2,1
CUST_01299,39,F,Bronze,72,11,3,1082.06,360.69,0,0
CUST_01300,45,Other,Silver,1,17,8,6106.68,763.34,1,0
CUST_01301,43,M,Bronze,4,22,4,1380.73,345.18,1,1
CUST_01302,36,F,Bronze,30,29,5,2325.32,465.06,0,1
CUST_01303,56,F,Gold,48,25,21,19921.85,948.66,0,0
CUST_01304,35,M,Bronze,38,20,2,805.57,402.79,1,0
CUST_01305,32,Other,Platinum,8,15,18,44429.17,2468.29,0,0
CUST_01306,49,F,Silver,5,1,5,2726.13,545.23,0,0
CUST_01307,30,F,Gold,2,30,16,18357.20,1147.33,0,0
CUST_01308,49,M,Bronze,36,63,3,970.51,323.50,1,0
CUST_01309,47,Other,Gold,19,7,12,8415.14,701.26,0,0
CUST_01310,40,M,Silver,1,6,10,7201.41,720.14,1,0
CUST_01311,51,F,Gold,3,8,17,27123.77,1595.52,1,0
CUST_01312,32,Other,Bronze,20,10,3,1098.72,366.24,1,0
CUST_01313,45,M,Bronze,15,23,4,1868.72,467.18,1,1
CUST_01314,35,M,Platinum,4,4,18,42694.27,2371.90,0,0
CUST_01315,48,M,Silver,4,1,6,4601.61,766.93,0,0
CUST_01316,30,M,Bronze,29,1,4,1426.96,356.74,0,0
CUST_01317,32,Other,Gold,2,8,13,15480.59,1190.81,0,0
CUST_01318,37,M,Bronze,20,50,3,761.01,253.67,0,0
CUST_01319,28,F,Gold,10,4,16,20785.07,1299.07,0,0
CUST_01320,32,M,Gold,28,72,11,12915.89,1174.17,0,0
CUST_01321,23,F,Silver,4,22,8,5397.34,674.67,0,0
CUST_01322,32,Other,Gold,5,61,8,9092.48,1136.56,0,0
CUST_01323,38,M,Silver,29,5,7,5250.83,750.12,0,0
CUST_01324,43,Other,Bronze,8,3,4,1731.46,432.87,1,0
CUST_01325,39,F,Bronze,6,67,3,1145.70,381.90,0,0
CUST_01326,20,F,Bronze,3,22,4,857.14,214.28,0,0
CUST_01327,49,F,Bronze,22,34,1,370.80,370.80,0,0
CUST_01328,55,F,Silver,18,26,12,9933.99,827.83,1,0
CUST_01329,35,Other,Bronze,23,29,4,1505.16,376.29,1,0
CUST_01330,52,M,Bronze,25,9,3,917.61,305.87,1,0
CUST_01331,20,Other,Bronze,1,24,5,2091.57,418.31,0,0
CUST_01332,40,F,Bronze,8,3,3,1303.59,434.53,1,0
CUST_01333,33,M,Bronze,19,18,3,976.66,325.55,1,0
CUST_01334,18,F,Bronze,10,1,6,2805.72,467.62,1,0
CUST_01335,26,F,Bronze,1,1,4,1347.22,336.81,1,1
CUST_01336,37,F,Gold,15,15,18,20912.56,1161.81,0,0
CUST_01337,18,M,Bronze,26,45,3,1336.61,445.54,0,0
CUST_01338,48,F,Gold,6,68,14,18117.70,1294.12,0,0
CUST_01339,54,Other,Bronze,17,19,4,1928.88,482.22,0,0
CUST_01340,41,F,Silver,10,1,10,5132.66,513.27,0,0
CUST_01341,55,F,Gold,7,4,10,11806.69,1180.67,0,0
CUST_01342,47,F,Silver,7,36,8,5213.63,651.70,0,0
CUST_01343,47,Other,Silver,4,7,8,6135.91,766.99,0,0
CUST_01344,53,M,Bronze,22,7,4,1891.16,472.79,1,0
CUST_01345,48,Other,Silver,25,10,7,4218.74,602.68,2,1
CUST_01346,36,F,Silver,10,15,8,4952.10,619.01,1,0
CUST_01347,,F,Silver,9,7,7,5480.91,782.99,0,0
CUST_01348,20,Other,Bronze,18,51,3,1003.39,334.46,0,1
CUST_01349,46,F,Bronze,39,1,5,1520.50,304.10,0,0
CUST_01350,35,M,Bronze,13,2,5,2146.92,429.38,0,1
CUST_01351,42,Other,Gold,1,2,12,16877.46,1406.45,0,0
CUST_01352,31,F,Gold,31,43,14,13594.27,971.02,0,0
CUST_01353,61,F,Bronze,23,6,3,893.95,297.98,0,0
CUST_01354,60,F,Silver,31,1,7,4130.62,590.09,0,0
CUST_01355,35,Other,Silver,10,27,11,4683.02,425.73,0,0
CUST_01356,36,M,Bronze,6,5,3,464.70,154.90,0,0
CUST_01357,35,M,Silver,11,1,7,3856.96,550.99,0,0
CUST_01358,33,Other,Gold,17,4,19,24252.83,1276.46,0,0
CUST_01359,26,F,Platinum,20,12,27,71818.06,2659.93,1,0
CUST_01360,55,Other,Bronze,34,33,3,744.30,248.10,0,1
CUST_01361,29,Other,Bronze,19,35,3,1018.07,339.36,0,0
CUST_01362,18,M,Silver,34,22,8,5425.60,678.20,0,0
CUST_01363,40,F,Bronze,16,6,2,722.92,361.46,1,0
CUST_01364,30,M,Gold,5,9,10,10120.47,1012.05,0,0
CUST_01365,20,F,Platinum,3,10,22,33465.38,1521.15,0,0
CUST_01366,40,Other,Gold,4,9,7,8133.34,1161.91,0,0
CUST_01367,36,F,Silver,13,24,7,3876.91,553.84,0,0
CUST_01368,37,M,Platinum,13,2,25,61207.21,2448.29,0,0
CUST_01369,28,F,Platinum,68,39,16,39698.15,2481.13,0,0
CUST_01370,29,Other,Silver,24,21,10,4058.78,405.88,1,0
CUST_01371,42,Other,Platinum,29,24,21,41080.47,1956.21,0,0
CUST_01372,29,F,Gold,9,48,13,21086.38,1622.03,0,1
CUST_01373,44,F,Gold,12,5,17,24352.46,1432.50,0,0
CUST_01374,50,Other,Silver,19,6,6,1910.58,318.43,0,0
CUST_01375,51,F,Bronze,8,30,4,1459.18,364.80,1,0
CUST_01376,34,Other,Bronze,14,24,4,1513.82,378.45,1,0
CUST_01377,60,M,Bronze,8,15,3,1135.88,378.63,1,1
CUST_01378,25,Other,Bronze,17,7,3,1617.23,539.08,0,0
CUST_01379,39,F,Gold,1,27,15,14236.01,949.07,0,0
CUST_01380,41,M,Gold,19,12,13,19345.04,1488.08,0,0
CUST_01381,31,M,Bronze,72,22,2,744.76,372.38,0,0
CUST_01382,67,F,Gold,9,47,14,12294.76,878.20,1,1
CUST_01383,23,F,Bronze,39,13,3,1028.31,342.77,0,0
CUST_01384,18,F,Bronze,6,12,5,1914.00,382.80,1,0
CUST_01385,43,F,Silver,69,7,4,2474.36,618.59,0,0
CUST_01386,27,F,Gold,12,24,16,23532.67,1470.79,0,0
CUST_01387,43,M,Bronze,6,23,4,1646.81,411.70,2,1
CUST_01388,52,M,Gold,2,41,8,9960.47,1245.06,0,0
CUST_01389,43,Other,Silver,24,33,9,4305.56,478.40,0,0
CUST_01390,38,M,Silver,8,53,5,3457.58,691.52,0,1
CUST_01391,50,Other,Bronze,64,33,2,732.10,366.05,0,0
CUST_01392,64,M,Gold,5,19,11,11545.62,1049.60,0,0
CUST_01393,50,F,Platinum,1,64,24,52290.19,2178.76,1,0
CUST_01394,23,F,Bronze,1,7,4,1586.51,396.63,0,0
CUST_01395,36,Other,Bronze,1,9,4,1533.72,383.43,1,0
CUST_01396,43,M,Silver,1,32,10,3218.75,321.88,0,1
CUST_01397,42,F,Bronze,10,19,4,1587.94,396.99,1,0
